entreprise;secteur d'activité;région;taille;chiffre d'affaire;fonction
45;28;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
46;23;Wallonie;Petite (< 50 employés);< € 50 Million;Ingénieur / Expert métier
47;27;Wallonie;Moyenne (< 250 employés);< € 50 Million;Direction générale
48;25;Wallonie;Moyenne (< 250 employés);< € 50 Million;Direction générale
49;Autre;Autre;Moyenne (< 250 employés);€ 100 Million - € 500 Million;Cadre / Dirigeant
50;28;Saarland;Grande (> 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
51;Autre;Autre;Moyenne (< 250 employés);< € 50 Million;Technicien / Ouvrier (spécialisé)
52;28;Rheinland-Pfalz;Petite (< 50 employés);< € 50 Million;Cadre / Dirigeant
53;28;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
54;Autre;Wallonie;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
55;10;Wallonie;Petite (< 50 employés);< € 50 Million;Direction générale
56;Autre;Autre;Petite (< 50 employés);< € 50 Million;Cadre / Dirigeant
57;20;Wallonie;Moyenne (< 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
58;10;Wallonie;Moyenne (< 250 employés);€ 50 Million - € 100 Million;Cadre / Dirigeant
59;Autre;Lorraine;Moyenne (< 250 employés);< € 50 Million;Cadre / Dirigeant
60;25;Lorraine;Petite (< 50 employés);< € 50 Million;Direction générale
61;29;Lorraine;Moyenne (< 250 employés);< € 50 Million;Direction générale
62;10;Rheinland-Pfalz;Moyenne (< 250 employés);€ 50 Million - € 100 Million;Technicien / Ouvrier (spécialisé)
63;24;Rheinland-Pfalz;Moyenne (< 250 employés);< € 50 Million;Direction générale
64;Autre;Saarland;Moyenne (< 250 employés);< € 50 Million;Direction générale
65;25;Luxembourg;Petite (< 50 employés);< € 50 Million;Ingénieur / Expert métier
66;30;Luxembourg;Moyenne (< 250 employés);< € 50 Million;Direction générale
67;28;Saarland;Grande (> 250 employés);> € 500 Million;Cadre / Dirigeant
