entreprise,secteur d'activite,region,taille,chiffre d'affaire,fonction
49,Autre,Autre,Moyenne (< 250 employes),e 100 Million - e 500 Million,Cadre / Dirigeant
50,28,Saarland,Grande (> 250 employes),e 50 Million - e 100 Million,Cadre / Dirigeant
51,Autre,Autre,Moyenne (< 250 employes),< e 50 Million,Technicien / Ouvrier (specialise)
52,28,Rheinland-Pfalz,Petite (< 50 employes),< e 50 Million,Cadre / Dirigeant
53,28,Wallonie,Moyenne (< 250 employes),< e 50 Million,Cadre / Dirigeant
54,Autre,Wallonie,Moyenne (< 250 employes),< e 50 Million,Cadre / Dirigeant
55,10,Wallonie,Petite (< 50 employes),< e 50 Million,Direction generale
56,Autre,Autre,Petite (< 50 employes),< e 50 Million,Cadre / Dirigeant
57,20,Wallonie,Moyenne (< 250 employes),e 50 Million - e 100 Million,Cadre / Dirigeant
58,10,Wallonie,Moyenne (< 250 employes),e 50 Million - e 100 Million,Cadre / Dirigeant
59,Autre,Lorraine,Moyenne (< 250 employes),< e 50 Million,Cadre / Dirigeant
60,25,Lorraine,Petite (< 50 employes),< e 50 Million,Direction generale
61,29,Lorraine,Moyenne (< 250 employes),< e 50 Million,Direction generale
62,10,Rheinland-Pfalz,Moyenne (< 250 employes),e 50 Million - e 100 Million,Technicien / Ouvrier (specialise)
63,24,Rheinland-Pfalz,Moyenne (< 250 employes),< e 50 Million,Direction generale
64,Autre,Saarland,Moyenne (< 250 employes),< e 50 Million,Direction generale
65,25,Luxembourg,Petite (< 50 employes),< e 50 Million,Ingenieur / Expert metier
66,30,Luxembourg,Moyenne (< 250 employes),< e 50 Million,Direction generale
67,28,Saarland,Grande (> 250 employes),> e 500 Million,Cadre / Dirigeant
